#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T024A/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 024A|*|
#SANRT024A|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221101112400 9.37
20230119101200 8.39
20230426175600 6.37
20230727170100 6.01
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T631/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 631|*|
#SANRT631|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221031143400 10.36
20230120111500 0.00
20230416074600 0.00
20230725175800 0.00
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T663/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 663|*|
#SANRT663|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20230415102900 48.25
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T802/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMET.H. 802(MW-14 ;VEG.SITE T.H.)|*|SANRT802|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221024122200 5.81
20221220074500 5.55
20230118153400 4.40
20230301150700 4.76
20230414074600 3.61
20230512070600 4.03
20230622074300 4.07
20230729140400 4.42
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T810/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMET.H. 810(MW-3A ;VEG.SITE T.H.)|*|SANRT810|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221020114200 8.96
20221128105100 8.73
20221215123400 8.60
20230118100400 8.40
20230221094800 8.12
20230328105600 7.13
20230423153800 6.78
20230512104900 6.73
20230729121200 6.53
20230926081000 6.12
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/TT09/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMET.H. T09 (TINEMAHA DAM)|*|SANRTT09|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221031111100 29.83
20221201111100 29.83
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/TT35/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMET.H. T35 (TINEMAHA DAM)|*|SANRTT35|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/TT44/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMET.H. T44(TINEMAHA DAM)|*|SANRTT44|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/V020/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMEOBS WELL 20|*|
#SANRV020|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/V327S/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMEOBS WELL 327 NESTED SHALLOW EASTERNMOST|*|SANRV327S|*|SWATER---|*|
#CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T987S/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMET.H. 987S (SHALLOW)|*|SANRT987S|*|SWATER---|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T024/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 024|*|
#SANRT024|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221101112300 10.55
20230119101000 9.73
20230426175700 7.76
20230727165800 7.05
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T362/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 362|*|
#SANRT362|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221019072900 0.00
20221128084800 0.00
20221215141000 0.00
20230124083800 0.00
20230221112400 0.00
20230328124800 0.00
20230423130900 0.00
