#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T381/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 381|*|
#SANRT381|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221220074000 3826.11
20230118152900 3827.22
20230301151300 3826.91
20230401075700 3828.27
20230414085300 3828.36
20230512081200 3828.81
20230622073700 3830.55
20230729142600 3830.06
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T870/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|
#SNAMET.H. 870(DIVISION CK ALLUVIAL FAN WELL)|*|SANRT870|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221024100500 3859.38
20221128113700 3859.11
20221219124900 3858.84
20230126125100 3858.57
20230216131200 3858.53
20230327110900 3858.44
20230424164900 3858.72
20230514155800 3858.74
20230824162100 3860.81
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T884/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 884|*|
#SANRT884|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221101110500 3829.87
20230426171800 3831.11
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/TT10/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|
#SNAMET.H. T10 (TINEMAHA DAM)|*|SANRTT10|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221031111100 3857.14
20221201111100 3858.24
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/V170/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|
#SNAMEOBS WELL 170|*|SANRV170|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221101101900 3820.03
20230119085900 3821.29
20230426154900 3822.88
20230727112800 3826.65
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/V859/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|
#SNAMEOBS WELL V859(MANZANAR DOMESTIC WELL)|*|SANRV859|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/W065/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|
#SNAMEWELL 065(PUMPING WELL #65)|*|SANRW065|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221005065500 3736.50
20221102153700 3730.72
20221202133200 3726.10
20230104123600 3729.57
20230203125900 3736.50
20230302082600 3738.81
20230402141900 3794.25
20230506134600 3791.94
20230605170200 3794.25
20230705152900 3789.63
20230804123600 3789.63
20230905133900 3797.71
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/S006/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|
#SNAMESOLAR STOCK WELL S006|*|SANRS006|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221014095000 3971.50
20230130100400 3971.50
20230427154000 3971.50
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T013I/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|
#SNAMET.H. 013I(ISS T.H. #I USGS SITE #13)|*|SANRT013I|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221019121600 3779.53
20221128152100 3780.76
20221215103300 3780.85
20230117094200 3781.51
20230221082000 3781.86
20230328083100 3783.23
20230423122900 3782.92
20230512081700 3782.72
20230729095600 3781.23
20230920114500 3781.67
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T024/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 024|*|
#SANRT024|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221101112300 3796.44
20230119101000 3797.26
20230426175700 3799.23
20230727165800 3799.94
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T411/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 411|*|
#SANRT411|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221031085100 3799.91
20230120090900 3801.82
20230421120700 3808.31
20230729074600 3808.31
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T549/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 549|*|
#SANRT549|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221031123800 3841.22
20230421142900 3841.22
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T558/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 558|*|
#SANRT558|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221024134500 3827.38
20230421103100 3827.38
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T618/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 618|*|
#SANRT618|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221101094700 3849.61
20230426152600 3849.61
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T663/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 663|*|
#SANRT663|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20230415102900 3831.25
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T723/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 723|*|
#SANRT723|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221013113100 3697.33
20230419145900 3697.35
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T846/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 846|*|
#SANRT846|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221027134200 3827.70
20230414090800 3831.10
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/TT26/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|
#SNAMET.H. T26(TINAMAHA DAM)|*|SANRTT26|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221031111100 3863.11
20221201111100 3863.11
20221229111100 3863.10
20230301111100 3863.10
20230329111100 3863.10
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/TT44/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|
#SNAMET.H. T44(TINEMAHA DAM)|*|SANRTT44|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/V013GC/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|
#SNAMEOBS WELL 013GC(ISS WELL #C SITE #13)|*|SANRV013GC|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/V066/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|
#SNAMEOBS WELL 066|*|SANRV066|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/W069/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|
#SNAMEWELL 069(PUMPING WELL #69)|*|SANRW069|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20230104121700 3708.70
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/W356/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|
#SNAMEWELL 356 (BLACKROCK HATCHERY WELL)|*|SANRW356|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20230402121100 3751.48
20230705175300 3751.48
20230804091200 3751.48
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/W395/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|
#SNAMEWELL 395(PUMPING WELL #395)|*|SANRW395|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221003080400 3817.38
20221102093600 3819.69
20221208130200 3819.69
20230104124400 3822.00
20230201104000 3824.31
20230303120000 3826.62
20230403093700 3826.62
20230505112900 3824.31
20230607083200 3824.31
20230703154000 3825.46
20230803132700 3826.62
20230906145300 3826.62
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T380/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 380|*|
#SANRT380|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221018071000 3799.48
20221219090100 3799.36
20230119102200 3801.01
20230222104600 3801.55
20230325162900 3805.09
20230416103600 3804.42
20230516182100 3803.68
20230628133000 3802.99
20230726163900 3802.62
20230829162100 3802.58
20230918111800 3802.50
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T455/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 455|*|
#SANRT455|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221019132400 3814.22
20230113144800 3816.64
20230414163100 3817.99
20230724152600 3817.11
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T722/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 722|*|
#SANRT722|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221013113000 3696.78
20230419145600 3696.91
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T834/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 834|*|
#SANRT834|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221031143200 3806.50
20221219080900 3806.60
20230120111700 3807.83
20230222102400 3808.38
20230325150900 3810.12
20230416074800 3810.02
20230516170800 3809.96
20230628151800 3810.40
20230725174800 3810.77
20230829154200 3811.19
20230918090600 3811.48
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/V006N/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|
#SNAMEOBS WELL 006N(TABOOSE DOMESTIC WELL)|*|SANRV006N|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/V151/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|
#SNAMEOBS WELL 151|*|SANRV151|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20230119092800 3830.73
20230415101100 3832.09
20230726171200 3837.37
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T419/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 419|*|
#SANRT419|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221018154500 3825.69
20221116121700 3826.05
20221220094500 3826.33
20230123093500 3826.47
20230215112800 3827.36
20230330104400 3830.72
20230401082700 3830.69
20230414105000 3830.44
20230515131800 3829.33
20230619112500 3828.22
20230814141700 3827.96
20230926100300 3831.07
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T584/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 584|*|
#SANRT584|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221031141600 3800.06
20230120121000 3802.11
20230416080800 3804.55
20230725173200 3801.79
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T585/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 585|*|
#SANRT585|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221019130500 3816.96
20221220095400 3816.67
20230113145100 3817.16
20230301152500 3817.22
20230414162000 3818.94
20230512074500 3819.16
20230627182500 3827.80
20230724144700 3827.47
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T778/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 778|*|
#SANRT778|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221031130600 3820.18
20230119074600 3821.40
20230426151700 3821.96
20230727085900 3816.00
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T787/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 787|*|
#SANRT787|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221020080200 3917.01
20230123142200 3917.01
20230423120900 3917.01
20230728083300 3917.01
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T810/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|
#SNAMET.H. 810(MW-3A ;VEG.SITE T.H.)|*|SANRT810|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221020114200 3747.75
20221128105100 3747.98
20221215123400 3748.11
20230118100400 3748.31
20230221094800 3748.59
20230328105600 3749.58
20230423153800 3749.93
20230512104900 3749.98
20230729121200 3750.18
20230926081000 3750.59
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/V087/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|
#SNAMEOBS WELL 087|*|SANRV087|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221013080100 3786.34
20221019091600 3786.32
20221024091600 3786.32
20221114103700 3786.21
20221215124200 3786.07
20230123083600 3787.18
20230124082300 3787.19
20230215093800 3787.01
20230326142700 3799.04
20230401150400 3798.89
20230423132800 3798.43
20230509074000 3798.16
20230728110900 3797.29
20230828112800 3800.11
20230918095700 3800.27
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/V096/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|
#SNAMEOBS WELL 096|*|SANRV096|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/V327/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|
#SNAMEOBS WELL 327(N. KEARSARGE ROAD)|*|SANRV327|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/W391/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|
#SNAMEWELL 391(PUMPING WELL #391)|*|SANRW391|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221004072400 3816.44
20221005072400 3816.44
20221102152000 3812.98
20221202130800 3812.98
20230104120900 3810.67
20230203123800 3810.67
20230302085700 3811.82
20230402135300 3812.98
20230506141700 3815.29
20230605173900 3812.98
20230705162100 3810.67
20230804120800 3815.29
20230905145100 3817.60
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/F037/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|
#SNAMEFLOWING WELL 037|*|SANRF037|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T013N1/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|
#SNAMET.H. 013N1(ISS T.H. #N' USGS SITE 13)|*|SANRT013N1|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T508/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 508|*|
#SANRT508|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221027134100 3773.26
20230120142000 3775.05
20230416141000 3777.47
20230725140200 3781.60
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T532/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 532|*|
#SANRT532|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
